Simple Mills Almond Flour Crackers,Simple Mills,snacks,0855654004110,non-gmo-project-verified,No seed oils — almond flour base; No artificial additives or dyes; Non-GMO Project Verified,"Whole Foods, Amazon, Target",
Siete Grain-Free Tortilla Chips,Siete Foods,snacks,856083006015,non-gmo-project-verified,Avocado oil (not corn or canola oil); Grain-free and gluten-free; No artificial flavors or colors; Non-GMO verified,"Whole Foods, Target, Sprouts",
Mary's Gone Crackers,Mary's Gone Crackers,snacks,858661002052,usda-organic;gluten-free,USDA Certified Organic seeds and whole grains; No refined seed oils; No artificial additives; Certified gluten-free,"Whole Foods, Amazon, Sprouts",
Primal Kitchen Collagen Bars,Primal Kitchen,snacks,0852806004507,non-gmo-project-verified,Grass-fed collagen protein; Coconut oil (not seed oils); No refined sugar or artificial sweeteners; Non-GMO verified,"Whole Foods, Amazon",
Wilderness Poets Organic Cashews,Wilderness Poets,snacks,852552005018,usda-organic,Single-ingredient USDA Organic cashews; No added oils or preservatives; Raw and minimally processed; Nothing hidden,"Amazon, Whole Foods",
One Degree Organics Sprouted Oat O's,One Degree Organics,cereal,828507001076,usda-organic;non-gmo-project-verified,Sprouted organic whole oats; No added sugar; Farmer-traced ingredient sourcing; No artificial additives or colors,"Whole Foods, Sprouts",
Bob's Red Mill Organic Rolled Oats,Bob's Red Mill,cereal,039978003911,usda-organic,Single-ingredient USDA Organic oats; No additives or preservatives; Grown without synthetic pesticides; Gluten-free certified facility,"Whole Foods, Amazon, Walmart",
Purely Elizabeth Original Ancient Grain Granola,Purely Elizabeth,cereal,856123004011,usda-organic,USDA Certified Organic ancient grain blend; Coconut sugar (no HFCS); No refined seed oils; No artificial flavors or colors,"Whole Foods, Target, Sprouts",
Nature's Path Organic Whole O's,Nature's Path,cereal,058449819011,usda-organic;non-gmo-project-verified,Certified Organic whole grain oats; No artificial colors or flavors; Non-GMO Project Verified; Clean simple ingredient list,"Whole Foods, Amazon",
Ezekiel 4:9 Sprouted Grain Cereal,Food for Life,cereal,073472001011,usda-organic,Sprouted organic whole grains and legumes; Complete protein profile; No refined flour or sugar; No artificial additives,"Whole Foods, Sprouts",
Primal Kitchen Avocado Oil Mayo,Primal Kitchen,condiments,0852806004149,non-gmo-project-verified,Avocado oil (not soybean or canola); Cage-free eggs; No added sugar; No artificial preservatives or colors; Non-GMO Project Verified,"Whole Foods, Amazon, Target",
Sir Kensington's Classic Mustard,Sir Kensington's,condiments,857336000044,non-gmo-project-verified,Non-GMO Project Verified; Whole food ingredients only; No artificial preservatives; No artificial colors or flavors,"Whole Foods, Target, Amazon",
Chosen Foods Classic Ketchup,Chosen Foods,condiments,817510013096,non-gmo-project-verified,No high-fructose corn syrup; Avocado oil base; Non-GMO Project Verified; No artificial additives or colors,"Whole Foods, Amazon",
Primal Kitchen No-Soy Teriyaki,Primal Kitchen,condiments,0852806004415,non-gmo-project-verified,No soy or seed oils; Coconut aminos base; No refined sugar; No artificial flavors or colors; Non-GMO Project Verified,"Whole Foods, Amazon",
Bragg Organic Apple Cider Vinegar,Bragg,condiments,074305001136,usda-organic,USDA Organic raw and unfiltered ACV with the mother; Single ingredient; No additives or preservatives; Naturally fermented,"Whole Foods, Amazon, Walmart",
